Model,avg vertex in degree,std vertex in degree,kurtosis vertex in degree,skewness vertex in degree,avg vertex out degree,std vertex out degree,kurtosis vertex out degree,skewness vertex out degree,avg clustering coefficient,std clustering coefficient,kurtosis clustering coefficient,skewness clustering coefficient
iAM_Pv461,4.393605292171996,8.644930380907224,182.46990191897302,12.094873406516257,4.393605292171996,12.784296584161885,277.01049368585757,15.194740942835407,0.1395631562577978,0.1808948626146565,5.1426555834708765,1.9657628374271465
iAPECO1_1312,4.463146889702038,16.01903030348415,398.0147495050404,18.828034215833114,4.463146889702038,22.228411434139325,672.5896936002016,23.58159870722829,0.1677947801811928,0.1681569652588891,0.36435148828189234,0.8218790541127238
iAT_PLT_636,4.940379403794038,9.221262155302362,144.46036742681332,10.94365590240141,4.940379403794038,11.789215634473186,269.84390274219083,14.55024753212918,0.14510943823000774,0.14976292114073833,2.821072432556707,1.3105028636105052
iB21_1397,4.49791013584117,16.26646728748787,397.25443377662504,18.82643902140954,4.49791013584117,22.470676254804758,682.7410374675851,23.740071644816595,0.17290683885244462,0.16984639222463516,0.5527655126068813,0.8341220921858515
iBWG_1329,4.491145833333333,16.241950722447083,400.3939254902485,18.89849155757739,4.491145833333333,22.350030871053978,681.1976131594422,23.71105505506092,0.1703175007012367,0.16688682903055072,0.3387406173847305,0.7890396859169362
ic_1306,4.4651284740429995,16.0633974560458,398.88750160464605,18.86569662894512,4.4651284740429995,22.3147672274452,678.2140557100477,23.70347362026193,0.1684805587689172,0.16850606333252754,0.35355727722117836,0.815867751051784
iCHOv1,5.168761220825853,16.689926785207525,541.8147575190452,19.664643497243237,5.168761220825853,16.85719332178543,682.7913606289264,21.159076428783248,0.16645085508540688,0.19250045413474653,1.867650033530314,1.3081705783457722
iCHOv1_DG44,4.774074074074074,11.946891509311273,282.1928330061179,14.193040310523635,4.774074074074074,13.109286857813393,407.6620561022211,16.444224271580666,0.12883012272676814,0.16847015321623507,3.819553898283801,1.6886243620060468
iCN718,5.207746478873239,12.36031002587423,146.8991586050596,10.965454706703703,5.207746478873239,15.30090322571127,182.30789757721757,11.829412717044653,0.2025594811756945,0.2125318161108403,1.6511096537348706,1.2446112948272507
iCN900,5.0656108597285066,14.163324737266871,205.09135762900635,13.403835279009774,5.0656108597285066,16.722725297299238,239.21726798083935,13.790615429751217,0.22004342354797513,0.17463397795334,0.7884755570928275,0.7358959755969305
iE2348C_1286,4.4680063458487576,15.962654962608015,392.0202419143772,18.69885017719233,4.4680063458487576,22.26987985127274,673.3162254619053,23.613445370045167,0.17066784346498567,0.17245431296406483,1.3657377739845682,0.9980186680486572
iEC042_1314,4.484720758693362,16.191492010979836,396.41792064723575,18.809651448334265,4.484720758693362,22.328140713097902,667.1800338792888,23.50982083647456,0.16960143605284092,0.16841175864478314,0.3889812564488251,0.8189367191992898
iEC1344_C,4.483453981385729,16.039489958278565,402.6012755947719,18.86580947292841,4.483453981385729,22.099509024753527,682.8601668378973,23.68938544318397,0.17054604594122127,0.16843619091445566,0.34656721774591226,0.8173567389880677
iEC1349_Crooks,4.49486125385406,16.202382182656873,413.09925207055454,19.13379144153333,4.49486125385406,22.33661068935114,686.1612290028804,23.789228473401423,0.17145363800461325,0.1675114393021721,0.30288789688128137,0.7878411716751389
iEC1356_Bl21DE3,4.530239833159541,16.122538872405283,401.5884283937098,18.89078043884395,4.530239833159541,22.445412244108258,681.1062301607388,23.705141239774374,0.1737712272718252,0.16787743561905039,0.24038626297299315,0.7645265747156387
iEC1364_W,4.538940809968848,16.170890661838005,407.1771415884118,18.99724196960049,4.538940809968848,22.318339918045677,679.3345680187008,23.655107952719433,0.17303417517035133,0.16814663303192262,0.4959316703675105,0.815222363905709
iEC1368_DH5a,4.54177344951307,16.312434300110457,410.2188329274268,19.081714889856535,4.54177344951307,22.61280561286503,694.7920787452032,23.91699836138868,0.17407260247168668,0.16754148393836998,0.23777772624685145,0.7612742190765922
iEC1372_W3110,4.5625651720542235,16.215795672448237,405.01283239645846,18.97865017822112,4.5625651720542235,22.60327926806535,680.3563027922211,23.693361546251055,0.17374334687984208,0.16691758409108629,0.2864881771573904,0.7711958105053855
iEC55989_1330,4.4966233766233765,16.367837135508115,402.6904421518642,18.944197944979646,4.4966233766233765,22.340868474229694,678.3441725878426,23.65965620084153,0.16927143497978706,0.16765739390426337,0.3847213812057584,0.8144971294550156
iECABU_c1320,4.463427377220481,16.122246225721877,401.28955337334236,18.93077003879191,4.463427377220481,22.375768025515107,679.6149075640805,23.727792921704427,0.1685779538985933,0.1684620019591255,0.35110934121548176,0.815158951136345
iECB_1328,4.491155046826223,16.298917401083557,400.05416561354775,18.88783476719757,4.491155046826223,22.512042674249255,691.4644523380159,23.889140454253173,0.17202171579018027,0.16960597496408875,0.5632378221419732,0.8380622791268916
